n, time (in micro)
1000,449
2000,297
3000,128
4000,210
5000,151
6000,158
7000,189
8000,182
9000,281
10000,332
11000,310
12000,296
13000,289
14000,291
15000,285
16000,415
17000,378
18000,274
19000,332
20000,361
21000,340
22000,357
23000,377
24000,507
25000,386
26000,492
27000,460
28000,419
29000,410
30000,429
31000,467
32000,409
33000,569
34000,603
35000,504
36000,541
37000,555
38000,441
39000,451
40000,456
41000,677
42000,606
43000,559
44000,731
45000,629
46000,643
47000,653
48000,659
49000,582
50000,720
